author,clean_image_urls,description,illustrator,introduceder,price,title,url
Bill Bryson,"https://www.foliosociety.com/media/catalog/product/w/a/walk_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/a/_/a_walk_in_the_woods_gallery_1.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/a/_/a_walk_in_the_woods_gallery_2.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/a/_/a_walk_in_the_woods_gallery_3.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/a/_/a_walk_in_the_woods_gallery_7.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/a/_/a_walk_in_the_woods_gallery_4.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/a/_/a_walk_in_the_woods_gallery_6.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/a/_/a_walk_in_the_woods_gallery_5.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700","Full of sweat, tears and side-splitting humour, Bill Bryson’s A Walk in the Woods is a page-turning travelogue and this Folio Society edition is the ultimate companion for fans of the author’s inimitable wit.",,,£49.95,A Walk in the Woods,https://www.foliosociety.com/row/a-walk-in-the-woods.html
John Keay,"https://www.foliosociety.com/media/catalog/product/i/n/indh_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/i/n/india_gallery_1.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/i/n/india_gallery_3.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/i/n/india_gallery_5.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/i/n/india_gallery_6.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/i/n/india_gallery_7.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/i/n/india_gallery_4.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/i/n/india_gallery_9.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/i/n/india_gallery_8.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/i/n/india_gallery_10.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700","Spanning 5,000 years from the Bronze Age to the present, India: A History is John Keay’s masterful story of the subcontinent; revised and updated for the Folio Society in this fully illustrated edition.",,,£160.00,India,https://www.foliosociety.com/row/india.html
Tom Holland,"https://www.foliosociety.com/media/catalog/product/d/o/domn_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/d/o/domn_gallery-5.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/d/o/domn_gallery-9.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/d/o/domn_gallery-4.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/d/o/domn_gallery-10.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/d/o/domn_gallery-3.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/d/o/domn_gallery-6.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/d/o/domn_gallery-2.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/d/o/domn_gallery-12.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/d/o/domn_gallery-1.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/d/o/domn_gallery-7.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/d/o/domn_gallery-11.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/d/o/domn_gallery-8.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700","Dominion is Tom Holland’s epic exploration of how everything we do has been shaped by Christianity, a subversive sect that grew to a religion. This beautiful Folio Society edition has a striking binding design by Noma Bar with 24 pages of colour images.",,,£65.00,Dominion,https://www.foliosociety.com/row/dominion.html
Robert Hooke,"https://www.foliosociety.com/media/catalog/product/m/i/micrographia_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/m/i/micrographia_gallery_1.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/m/i/micrographia_gallery_3.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/m/i/micrographia_gallery_4.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/m/i/micrographia_gallery_8.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/m/i/micrographia_gallery_5.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/m/i/micrographia_gallery_9.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/m/i/micrographia_gallery_6.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/m/i/micrographia_gallery_7.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/m/i/micrographia_gallery_2.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700",Robert Hooke’s science classic Micrographia changed the way we view the natural world. This beautifully crafted Folio Society edition of the complete text includes all Hooke’s original illustrations and an introduction by historian Ruth Scurr.,,,£75.00,Micrographia,https://www.foliosociety.com/row/robert-hooke-micrographia.html
Susan Sontag,"https://www.foliosociety.com/media/catalog/product/p/h/phot_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/o/n/on_photography_gallery_1.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/o/n/on_photography_gallery_2.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/o/n/on_photography_gallery_3.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/o/n/on_photography_gallery_4.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/o/n/on_photography_gallery_5.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/o/n/on_photography_gallery_6.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/o/n/on_photography_gallery_7.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700","The first-ever illustrated edition of Susan Sontag’s groundbreaking work, On Photography, is newly introduced by Metropolitan Museum of Art curator of photography Mia Fineman and includes 21 beautifully reproduced archive photographs.",,,£85.00,On Photography,https://www.foliosociety.com/row/on-photography.html
Max Hastings,"https://www.foliosociety.com/media/catalog/product/a/h/ahll_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/a/l/all_hell_let_loose_gallery_3.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/a/l/all_hell_let_loose_gallery_1.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/a/l/all_hell_let_loose_gallery_5.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/a/l/all_hell_let_loose_gallery_6.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/a/l/all_hell_let_loose_gallery_7.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/a/l/all_hell_let_loose_gallery_4.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/a/l/all_hell_let_loose_gallery_8_1.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/a/l/all_hell_let_loose_gallery_11.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/a/l/all_hell_let_loose_gallery_12.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/a/l/all_hell_let_loose_gallery_2.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700","Published in a richly illustrated Folio Society edition, Max Hastings’ All Hell Let Loose is a people’s history of the Second World War from one of its greatest historians: the complete story of the conflict.",,,£150.00,All Hell Let Loose,https://www.foliosociety.com/row/all-hell-let-loose.html
Gertrude Bell,"https://www.foliosociety.com/media/catalog/product/s/o/sown_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/s/o/sown_s_03_1.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/s/o/sown_s_13.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/s/o/sown_s_12.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/s/o/sown_s_15.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/s/o/sown_s_16.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/s/o/sown_s_17.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/s/o/sown_s_18.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700","Syria: The Desert and The Sown is a masterpiece of travel writing by Gertrude Bell, a pioneering Victorian explorer of Arabia, now available in a stunning Folio edition featuring her original photography.",,,£80.00,Syria,https://www.foliosociety.com/row/syria.html
Michio Kaku,"https://www.foliosociety.com/media/catalog/product/p/r/prll_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/p/a/parallel_worlds_gallery_1.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/p/a/parallel_worlds_gallery_2.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/p/a/parallel_worlds_gallery_3.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/p/a/parallel_worlds_gallery_4.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700",Parallel Worlds is Michio Kaku’s astonishing journey into the mysteries of our universe – and the tantalising possibility that many others may exist. Awe-inspiring images of the cosmos complete this Folio edition.,,,£49.95,Parallel Worlds,https://www.foliosociety.com/row/parallel-worlds.html
Michael Palin,"https://www.foliosociety.com/media/catalog/product/p/o/pole_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/p/o/pole_to_pole_gallery_1.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/p/o/pole_to_pole_gallery_2.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/p/o/pole_to_pole_gallery_5.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/p/o/pole_to_pole_gallery_3.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/p/o/pole_to_pole_gallery_4.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700","Pole to Pole is Michael Palin’s account of his epic journey from the Arctic to Antarctic, via the USSR, Africa and South America: a classic adventure in a beautiful Folio Society edition, with superb original photography.",,,£49.95,Pole to Pole,https://www.foliosociety.com/row/pole-to-pole.html
Paul Theroux,"https://www.foliosociety.com/media/catalog/product/p/a/patg_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/o/l/old_patagonian_express_gallery_1_2.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/o/l/old_patagonian_express_gallery_2_2.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/o/l/old_patagonian_express_gallery_3_2.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/o/l/old_patagonian_express_gallery_4_2.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/o/l/old_patagonian_express_gallery_5_2.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/o/l/old_patagonian_express_gallery_6_2.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700","One of the greatest travelogues of the 20th century, Paul Theroux’s The Old Patagonian Express is newly presented as a Folio edition featuring an exclusive new introduction by the author and 24 original colour photographs.",,,£65.00,The Old Patagonian Express,https://www.foliosociety.com/row/the-old-patagonian-express.html
